cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
7194,226.27,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,2-phenylethyl benzoate,4.0
7284,86.13,CCC(C)C=O,CCC(C)C=O,2-methylbutanal,1.1
7288,86.13,CCC(=O)CC,CCC(=O)CC,pentan-3-one,0.9
7359,100.16,CCC(CC)C=O,CCC(CC)C=O,2-ethylbutanal,1.5
7410,120.15,CC(=O)C1=CC=CC=C1,CC(=O)C1=CC=CC=C1,1-phenylethanone,1.6
7412,140.56,C1=CC=C(C=C1)C(=O)Cl,C1=CC=C(C=C1)C(=O)Cl,benzoyl chloride,2.9
7414,138.19,C1=CC=C(C=C1)C(=O)S,C1=CC=C(C=C1)C(=O)S,benzenecarbothioic S-acid,2.4
7418,136.15,CC1=CC(=CC=C1)C(=O)O,CC1=CC(=CC=C1)C(=O)O,3-methylbenzoic acid,2.4
7451,203.02,C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl,C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl,"benzene-1,3-dicarbonyl chloride",3.6
7454,277.94,C1=CC(=CC=C1C(=O)CBr)Br,C1=CC(=CC=C1C(=O)CBr)Br,2-bromo-1-(4-bromophenyl)ethanone,3.2
7455,150.17,CC1=CC=C(C=C1)C(=O)OC,CC1=CC=C(C=C1)C(=O)OC,methyl 4-methylbenzoate,2.7
7467,154.59,CC(=O)C1=CC=C(C=C1)Cl,CC(=O)C1=CC=C(C=C1)Cl,1-(4-chlorophenyl)ethanone,2.3
7470,136.15,CC1=CC=C(C=C1)C(=O)O,CC1=CC=C(C=C1)C(=O)O,4-methylbenzoic acid,2.3
7488,203.02,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,"benzene-1,4-dicarbonyl chloride",4.0
7489,166.13,C1=CC(=CC=C1C(=O)O)C(=O)O,C1=CC(=CC=C1C(=O)O)C(=O)O,terephthalic acid,2.0
7559,150.17,COC(=O)CC1=CC=CC=C1,COC(=O)CC1=CC=CC=C1,methyl 2-phenylacetate,1.8
7590,164.20,CCOC(=O)CC1=CC=CC=C1,CCOC(=O)CC1=CC=CC=C1,ethyl 2-phenylacetate,2.3
7593,210.27,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,"1,3-diphenylpropan-2-one",3.1
7600,206.28,CC(C)CCOC(=O)CC1=CC=CC=C1,CC(C)CCOC(=O)CC1=CC=CC=C1,3-methylbutyl 2-phenylacetate,3.6
7601,240.30,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,2-phenylethyl 2-phenylacetate,3.9
7643,164.20,COC(=O)CCC1=CC=CC=C1,COC(=O)CCC1=CC=CC=C1,methyl 3-phenylpropanoate,2.3
7678,134.17,CC(=O)CC1=CC=CC=C1,CC(=O)CC1=CC=CC=C1,1-phenylpropan-2-one,1.4
7680,135.16,C1=CC=C(C=C1)CC(=O)N,C1=CC=C(C=C1)CC(=O)N,2-phenylacetamide,0.5
7707,134.17,C1=CC=C(C=C1)CCC=O,C1=CC=C(C=C1)CCC=O,3-phenylpropanal,1.3
7725,120.15,CC1=CC=C(C=C1)C=O,CC1=CC=C(C=C1)C=O,4-methylbenzaldehyde,2.1
7726,140.56,C1=CC(=CC=C1C=O)Cl,C1=CC(=CC=C1C=O)Cl,4-chlorobenzaldehyde,2.1
7860,58.04,C(=O)C=O,C(=O)C=O,oxaldehyde,-0.4
7895,86.13,CCCC(=O)C,CCCC(=O)C,pentan-2-one,0.9
8035,114.14,CC(=O)CCC(=O)C,CC(=O)CCC(=O)C,"hexane-2,5-dione",-0.3
8063,86.13,CCCCC=O,CCCCC=O,pentanal,1.1
8130,114.19,CCCCCCC=O,CCCCCCC=O,heptanal,2.3
8342,227.04,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,"2,3-dichloronaphthalene-1,4-dione",3.4
8373,136.15,CC1=CC=CC=C1C(=O)O,CC1=CC=CC=C1C(=O)O,2-methylbenzoic acid,2.5
8400,212.24,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,"2-hydroxy-1,2-diphenylethanone",2.1
8433,224.25,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2,"1,3-diphenylpropane-1,3-dione",3.1
8441,194.18,COC(=O)C1=CC=C(C=C1)C(=O)OC,COC(=O)C1=CC=C(C=C1)C(=O)OC,"dimethyl benzene-1,4-dicarboxylate",2.2
8500,134.17,CC1=CC=C(C=C1)C(=O)C,CC1=CC=C(C=C1)C(=O)C,1-(4-methylphenyl)ethanone,2.1
8501,175.01,C1=CC(=CC=C1C(=O)Cl)Cl,C1=CC(=CC=C1C(=O)Cl)Cl,4-chlorobenzoyl chloride,3.6
8530,158.15,C1=CC=C2C(=O)C=CC(=O)C2=C1,C1=CC=C2C(=O)C=CC(=O)C2=C1,"naphthalene-1,4-dione",1.7
8560,246.26,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,"bis(prop-2-enyl) benzene-1,2-dicarboxylate",3.2
8651,210.23,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,"1,2-diphenylethane-1,2-dione",3.4
