rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
64,21251742,O=CC=O.O=CC=O,MXUZYZQNWRMDTN-UHFFFAOYSA-N,oxaldehyde,116.07199999999997,-1.2316000000000003,68.28,0,4,2,0,4,0,4,4,0,0,0.33428503687800243,0.4842850368780024,Dialdehyde (aliphatic)
65,21872017,C=O.O=CCCCC=O,KSKYTIWOGUMFTK-UHFFFAOYSA-N,formaldehyde;pentanedial,130.14299999999997,0.36959999999999993,51.21,0,3,4,0,2,2,2,3,0,2,0.4077690024203112,0.48276900242031123,Dialdehyde (aliphatic)
66,19705594,CC(C=O)(C=O)C=O,IJRGNHJKRWYCQD-UHFFFAOYSA-N,"ethane-1,1,1-tricarbaldehyde",114.09999999999998,-0.4106000000000001,51.21,0,3,3,0,3,3,3,3,0,0,0.369894579700311,0.48239457970031097,Dialdehyde (aliphatic)
67,21265496,CC(=O)C(C=O)C=O,OKFAIMCETXZHTR-UHFFFAOYSA-N,2-acetylpropanedial,114.09999999999998,-0.4106000000000001,51.21,0,3,3,0,3,4,3,3,0,0,0.369894579700311,0.48239457970031097,Dialdehyde (aliphatic)
68,3593277,CCC(=O)C(=O)[O-],TYEYBOSBBBHJIV-UHFFFAOYSA-M,2-oxobutanoate,101.08099999999999,-1.2846,57.2,0,3,2,0,2,1,2,2,0,0,0.406706301388445,0.481706301388445,Dialdehyde (aliphatic)
69,22352755,O=CCC(C=O)C=O,QGPGKCTWMYIIPB-UHFFFAOYSA-N,"ethane-1,1,2-tricarbaldehyde",114.09999999999998,-0.4106000000000001,51.21,0,3,4,0,3,3,3,3,0,1,0.36845987069464065,0.48095987069464063,Dialdehyde (aliphatic)
70,10953466,CC(=O)CCCC=O,UCAQDIQSNVAWBD-UHFFFAOYSA-N,5-oxohexanal,114.14399999999999,0.9446,34.14,0,2,4,0,2,3,2,2,0,1,0.4024203395303487,0.47742033953034874,Dialdehyde (aliphatic)
71,15110004,CCCC(=O)CC=O,PVLKSJIUOKAUMV-UHFFFAOYSA-N,3-oxohexanal,114.14399999999998,0.9446,34.14,0,2,4,0,2,3,2,2,0,1,0.40242033953034867,0.4774203395303487,Dialdehyde (aliphatic)
72,142755,CCCCC(=O)C=O,QHOSFZIXOKVGHK-UHFFFAOYSA-N,2-oxohexanal,114.14399999999998,0.9446,34.14,0,2,4,0,2,1,2,2,0,0,0.40242033953034867,0.4774203395303487,Dialdehyde (aliphatic)
73,18185839,CC=O.CC=O,NBXMJDVWESETMK-UHFFFAOYSA-N,acetaldehyde,88.10599999999998,0.4104,34.14,0,2,0,0,2,2,2,2,0,0,0.40176364477135457,0.4767636447713546,Dialdehyde (aliphatic)
74,14786268,CC(C)C(=O)CC=O,ZJCLDUPTGISKMK-UHFFFAOYSA-N,4-methyl-3-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,3,2,2,0,1,0.4014537786885869,0.4764537786885869,Dialdehyde (aliphatic)
75,167604,CC(C)CC(=O)C=O,OPIPDUFGXKXYLW-UHFFFAOYSA-N,4-methyl-2-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,1,2,2,0,0,0.4014537786885869,0.4764537786885869,Dialdehyde (aliphatic)
76,184830,CCC(C)C(=O)C=O,BJDVEYLUFYKDIQ-UHFFFAOYSA-N,3-methyl-2-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,1,2,2,0,0,0.4014537786885869,0.4764537786885869,Dialdehyde (aliphatic)
77,12712037,CCC(=O)C(C)C=O,HFHZCESKBNQESK-UHFFFAOYSA-N,2-methyl-3-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,3,2,2,0,0,0.4014537786885869,0.4764537786885869,Dialdehyde (aliphatic)
78,21107300,O=CCC(=O)C(F)F,JDNXWZINWVTBQI-UHFFFAOYSA-N,"4,4-difluoro-3-oxobutanal",122.07,0.40959999999999996,34.14,0,2,3,0,2,3,2,2,2,1,0.40098008690674136,0.4759800869067414,Fluoro-dialdehyde
79,147247143,CC(F)C(=O)CC=O,CLYAZXUCEQBUHA-UHFFFAOYSA-N,4-fluoro-3-oxopentanal,118.107,0.5025000000000001,34.14,0,2,3,0,2,3,2,2,1,1,0.39920715544138907,0.4742071554413891,Fluoro-dialdehyde
80,88107893,CCC(F)C(=O)C=O,NCLOEROZTIHFTH-UHFFFAOYSA-N,3-fluoro-2-oxopentanal,118.10699999999999,0.5025000000000001,34.14,0,2,3,0,2,1,2,2,1,0,0.39920715544138907,0.4742071554413891,Fluoro-dialdehyde
81,20253250,CC(C)C(C=O)C=O,OLYHYJGOOMMTIH-UHFFFAOYSA-N,2-propan-2-ylpropanedial,114.14399999999998,0.6564,34.14,0,2,3,0,2,2,2,2,0,0,0.39862908254325496,0.473629082543255,Dialdehyde (aliphatic)
82,151833654,O=CCC(=O)CCF,SFEUVZGLLDEZHV-UHFFFAOYSA-N,5-fluoro-3-oxopentanal,118.10699999999997,0.5041,34.14,0,2,4,0,2,3,2,2,1,1,0.39769550579997925,0.47269550579997927,Fluoro-dialdehyde
83,123864038,CC(C=O)C(=O)CF,RHEGWTVWDLJGQE-UHFFFAOYSA-N,4-fluoro-2-methyl-3-oxobutanal,118.107,0.36,34.14,0,2,3,0,2,3,2,2,1,0,0.3957725858614363,0.47077258586143633,Fluoro-dialdehyde
