rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
29,31261,CC(=O)CC(C)=O,YRKCREAYFQTBPV-UHFFFAOYSA-N,"pentane-2,4-dione",100.11699999999999,0.5545,34.14,0,2,2,0,2,4,2,2,0,0,0.4748220028701909,0.5498220028701909,Dialdehyde (aliphatic)
30,17879652,CC(=O)CC=O.CCC=O,PTCNSYGBCQWQQO-UHFFFAOYSA-N,3-oxobutanal;propanal,144.17,0.7597,51.21,0,3,3,0,3,4,3,3,0,2,0.43372171332649984,0.5462217133264998,Dialdehyde (aliphatic)
31,17879650,CCCC=O.O=CCC=O,KXPQJAOXPJYLMM-UHFFFAOYSA-N,butanal;propanedial,144.17,0.7597,51.21,0,3,4,0,3,3,3,3,0,3,0.4320394382075498,0.5445394382075498,Dialdehyde (aliphatic)
32,15560738,CSC(=O)C(C)=O,NHCKWOHEDYQDHP-UHFFFAOYSA-N,S-methyl 2-oxopropanethioate,118.15699999999998,0.46499999999999997,34.14,0,3,1,0,2,1,2,2,0,0,0.4690870076183278,0.5440870076183277,Dialdehyde (aliphatic)
33,85968546,CC(=O)CC(C)=O.O,QBXAXCNNACSYCJ-UHFFFAOYSA-N,"pentane-2,4-dione;hydrate",118.13199999999999,-0.2702,65.64,0,2,2,0,2,4,2,2,0,0,0.4682414221258877,0.5432414221258877,Dialdehyde (aliphatic)
34,22450779,CC=O.CCC=O,OUUKRYYWNOITHR-UHFFFAOYSA-N,acetaldehyde;propanal,102.13299999999998,0.8005,34.14,0,2,1,0,2,2,2,2,0,1,0.4587580339306741,0.5337580339306741,Dialdehyde (aliphatic)
35,11434915,O=CC1CC1C=O,GWFLUFSOUNEMFG-UHFFFAOYSA-N,"cyclopropane-1,2-dicarbaldehyde",98.10099999999998,0.020299999999999985,34.14,0,2,2,1,2,2,2,2,0,0,0.4561175371101198,0.5311175371101198,Dialdehyde (cyclic)
36,129809271,O=C[C@@H]1C[C@H]1C=O,GWFLUFSOUNEMFG-WHFBIAKZSA-N,"trans-(1R,2R)-cyclopropane-1,2-dicarbaldehyde",98.10099999999998,0.020299999999999985,34.14,0,2,2,1,2,2,2,2,0,0,0.4561175371101198,0.5311175371101198,Dialdehyde (cyclic)
37,129657749,CCC(=O)CC(=O)CC=O,NSANIYIDZABQES-UHFFFAOYSA-N,"3,5-dioxoheptanal",142.154,0.5137,51.21,0,3,5,0,3,5,3,3,0,1,0.4149035132237414,0.5274035132237413,Dialdehyde (aliphatic)
38,997,O=C(O)C(=O)Cc1ccccc1,BTNMPGBKDVTSJY-UHFFFAOYSA-N,2-oxo-3-phenylpropanoic acid,164.15999999999997,0.8828,54.370000000000005,1,2,3,1,2,1,2,2,0,0,0.6745421484364059,0.5246795039054841,Dialdehyde (cyclic)
39,20505731,CCCC(C=O)(C=O)C=O,LWGYEWGUWGFLAZ-UHFFFAOYSA-N,"butane-1,1,1-tricarbaldehyde",142.15399999999997,0.36959999999999993,51.21,0,3,5,0,3,3,3,3,0,0,0.4113185958574176,0.5238185958574175,Dialdehyde (aliphatic)
40,17879648,CCC=O.O=CCC=O,XVKFDSVMDSCMAF-UHFFFAOYSA-N,propanal;propanedial,130.14299999999997,0.36959999999999993,51.21,0,3,3,0,3,3,3,3,0,3,0.4093567733189513,0.5218567733189513,Dialdehyde (aliphatic)
41,53833011,O=CCC(C=O)(C=O)C=O,GDUBISTZWFLBIB-UHFFFAOYSA-N,"ethane-1,1,1,2-tetracarbaldehyde",142.10999999999996,-0.8415000000000001,68.28,0,4,5,0,4,4,4,4,0,1,0.3703973465999534,0.5203973465999534,Dialdehyde (aliphatic)
42,17879651,CC(C)=O.O=CCC=O,NOEWTNXIJJREBZ-UHFFFAOYSA-N,propanedial;propan-2-one,130.14299999999997,0.36959999999999993,51.21,0,3,2,0,3,4,3,3,0,2,0.40052851976713255,0.5130285197671325,Dialdehyde (aliphatic)
43,21347800,CC(=O)CC(=O)CC=O,NVBJELVUQIDITN-UHFFFAOYSA-N,"3,5-dioxohexanal",128.12699999999998,0.12359999999999993,51.21,0,3,4,0,3,5,3,3,0,1,0.39894074715264977,0.5114407471526498,Dialdehyde (aliphatic)
44,118437747,CC(=O)CCC(=O)C=O,YEJDUVJLIVLCFZ-UHFFFAOYSA-N,"2,5-dioxohexanal",128.12699999999998,0.12359999999999993,51.21,0,3,4,0,3,3,3,3,0,0,0.39894074715264977,0.5114407471526498,Dialdehyde (aliphatic)
45,22114514,CC(=O)C=O.O=CC=O,RAGHYEDMWUCFQM-UHFFFAOYSA-N,oxaldehyde;2-oxopropanal,130.099,-0.8415000000000001,68.28,0,4,2,0,4,1,4,4,0,0,0.3606812021021071,0.5106812021021071,Dialdehyde (aliphatic)
46,21867985,CCC(C=O)(C=O)C=O,VBDFBUCXFMOPMW-UHFFFAOYSA-N,"propane-1,1,1-tricarbaldehyde",128.12699999999998,-0.020499999999999963,51.21,0,3,4,0,3,3,3,3,0,0,0.39461698021650143,0.5071169802165014,Dialdehyde (aliphatic)
47,439963,O=CCCCC(=O)O,VBKPPDYGFUZOAJ-UHFFFAOYSA-N,5-oxopentanoic acid,116.11599999999999,0.4402,54.370000000000005,1,2,4,0,2,2,2,2,0,1,0.4279874042137406,0.5029874042137406,Dialdehyde (aliphatic)
48,18538325,O=CCCC(=O)CC=O,PAXFMQWEAJBIJB-UHFFFAOYSA-N,3-oxohexanedial,128.12699999999998,0.12359999999999993,51.21,0,3,5,0,3,4,3,3,0,2,0.39013499375570077,0.5026349937557008,Dialdehyde (aliphatic)
49,20149005,O=CC(C=O)(C=O)C=O,SLSCQBWTJWXIDO-UHFFFAOYSA-N,methanetetracarbaldehyde,128.08299999999997,-1.2316000000000003,68.28,0,4,4,0,4,4,4,4,0,0,0.3508124648423263,0.5008124648423263,Dialdehyde (aliphatic)
50,88107593,CCC(F)(F)C(=O)C=O,YORVNBROCXVDLZ-UHFFFAOYSA-N,"3,3-difluoro-2-oxopentanal",136.09699999999998,0.7997000000000001,34.14,0,2,3,0,2,1,2,2,2,0,0.424444093331381,0.499444093331381,Fluoro-dialdehyde
51,174728040,CC(F)(F)CC(=O)C=O,QTZMTCTZPLJWQA-UHFFFAOYSA-N,"4,4-difluoro-2-oxopentanal",136.09699999999998,0.7997000000000001,34.14,0,2,3,0,2,1,2,2,2,0,0.424444093331381,0.499444093331381,Fluoro-dialdehyde
52,6956,NC(=O)c1ccccc1C(N)=O,NAYYNDKKHOIIOD-UHFFFAOYSA-N,"benzene-1,2-dicarboxamide",164.164,-0.11560000000000004,86.18,2,2,2,1,2,0,2,2,0,0,0.6381913843399303,0.49923396903795114,Dialdehyde (cyclic)
53,22922799,CC(C)=O.CC=O,KEUXLNUAJRPQNF-UHFFFAOYSA-N,acetaldehyde;propan-2-one,102.13299999999998,0.8005,34.14,0,2,0,0,2,3,2,2,0,0,0.4238045322707147,0.4988045322707147,Dialdehyde (aliphatic)
54,18008592,O=CCCC(C=O)C=O,KUAPETJWSCRJET-UHFFFAOYSA-N,"propane-1,1,3-tricarbaldehyde",128.12699999999998,-0.020499999999999963,51.21,0,3,5,0,3,3,3,3,0,1,0.3859066646149076,0.49840666461490757,Dialdehyde (aliphatic)
55,20545621,CC(=O)CC(=O)S,QPLPMPAMOJIAMN-UHFFFAOYSA-N,3-oxobutanethioic S-acid,118.157,0.4219,34.14,1,2,2,0,2,3,2,2,0,0,0.4209657556391779,0.4959657556391779,Dialdehyde (aliphatic)
56,23018346,CCC(=O)C(=O)S,KIZNNYSYHSZKQC-UHFFFAOYSA-N,2-oxobutanethioic S-acid,118.157,0.4219,34.14,1,2,2,0,2,1,2,2,0,0,0.4209657556391779,0.4959657556391779,Dialdehyde (aliphatic)
57,22743515,O=CCCC(Cl)C=O,KHLSIPLPTLBNGM-UHFFFAOYSA-N,2-chloropentanedial,134.562,0.7718,34.14,0,2,4,0,2,2,2,2,0,1,0.42057732217069227,0.4955773221706923,Dialdehyde (aliphatic)
58,9543238,O=CCCC(=O)[O-],UIUJIQZEACWQSV-UHFFFAOYSA-M,4-oxobutanoate,101.08099999999999,-1.2846000000000002,57.199999999999996,0,3,3,0,2,2,2,2,0,1,0.4156707225783945,0.4906707225783945,Dialdehyde (aliphatic)
59,121318252,O=CC(=O)C(F)CCF,XGCFJMRGJBWJRI-UHFFFAOYSA-N,"3,5-difluoro-2-oxopentanal",136.09699999999998,0.45210000000000006,34.14,0,2,4,0,2,1,2,2,2,0,0.4150831809721078,0.4900831809721078,Fluoro-dialdehyde
60,19694734,CCC=O.O=CC=O,FDFMJEZKMHJQRA-UHFFFAOYSA-N,oxaldehyde;propanal,116.11599999999997,-0.020499999999999963,51.21,0,3,2,0,3,1,3,3,0,1,0.3760247928001801,0.4885247928001801,Dialdehyde (aliphatic)
61,89298719,O=CCC(C=O)P=O,CUAUSIRCMSTUPU-UHFFFAOYSA-N,2-phosphorosobutanedial,132.055,0.4345999999999999,51.21,0,3,4,0,2,2,2,2,0,1,0.41142436069855925,0.48642436069855927,Dialdehyde (aliphatic)
62,15009279,O=CCC(=O)CC=O,SSMCSEDSANTCBB-UHFFFAOYSA-N,3-oxopentanedial,114.09999999999998,-0.26649999999999996,51.21,0,3,4,0,3,4,3,3,0,2,0.3732312969786292,0.4857312969786292,Dialdehyde (aliphatic)
63,22501478,O=CCCC(=O)C=O,VUSMENNBCBGZQI-UHFFFAOYSA-N,2-oxopentanedial,114.09999999999998,-0.26649999999999996,51.21,0,3,4,0,3,2,3,3,0,1,0.3732312969786292,0.4857312969786292,Dialdehyde (aliphatic)
