rank_nb2,rank_nb1,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,qed,category,elec_proxy,ani_energy,method,conformer_ok,nb2_score
103,75,167604,CC(C)CC(=O)C=O,4-methyl-2-oxopentanal,114.14399999999998,0.8005,2,1,2,2,0,0.4014537786885869,Dialdehyde (aliphatic),19.007001566656733,,gasteiger,True,54.59983539689969
104,163,102492303,C#CCCC(=O)C=O,2-oxohex-5-ynal,110.11199999999998,0.1677999999999999,2,1,2,2,0,0.2945713666721594,Dialdehyde (aliphatic),19.043020865316468,,gasteiger,True,54.44747272512451
105,76,184830,CCC(C)C(=O)C=O,3-methyl-2-oxopentanal,114.14399999999998,0.8005,2,1,2,2,0,0.4014537786885869,Dialdehyde (aliphatic),19.146825380348442,,gasteiger,True,54.00837663383167
106,119,145802,O=CC(=O)C1CC1,2-cyclopropyl-2-oxoacetaldehyde,98.10099999999998,0.1644,2,1,2,2,0,0.3640269868397684,Dialdehyde (cyclic),19.161760690224817,,gasteiger,True,53.94519984246626
107,166,11603089,O=CC#CC=O,but-2-ynedial,82.05799999999998,-0.6124,2,0,2,2,0,0.2882854726214662,Dialdehyde (aliphatic),19.27434001815489,,gasteiger,True,53.46898603963463
108,107,349972,CC(C)(C)C(=O)C=O,"3,3-dimethyl-2-oxobutanal",114.14399999999998,0.8005,2,1,2,2,0,0.3729902867981066,Dialdehyde (aliphatic),19.28625239725829,,gasteiger,True,53.418596332590674
109,155,10464312,O=CC#CC#CC=O,"hexa-2,4-diynedial",106.07999999999996,-0.6090000000000002,2,0,2,2,0,0.304747052485727,Dialdehyde (aliphatic),19.327691848528346,,gasteiger,True,53.243306259009614
110,128,20591840,O=CC(=O)CC(=O)C=O,"2,4-dioxopentanedial",128.083,-1.0875,4,2,4,4,0,0.2739128497560518,Dialdehyde (aliphatic),19.409890911049775,,gasteiger,True,52.89560185472646
111,4,2778488,CC(=O)CC(=O)C(F)F,"1,1-difluoropentane-2,4-dione",136.09699999999998,0.7997000000000001,2,4,2,2,2,0.5375245853770366,Fluoro-dialdehyde,17.124998327204725,,gasteiger,True,52.56076335835958
112,182,20441111,O=CC(=O)P,2-oxo-2-phosphanylacetaldehyde,90.018,-0.4130000000000001,2,0,2,2,0,0.248896226535131,Dialdehyde (aliphatic),19.93962572424639,,gasteiger,True,50.65480832253062
113,165,134861881,O=CCCCC=[OH+],5-oxopentylideneoxidanium,101.125,0.5303,2,2,2,2,0,0.2889740083308861,Dialdehyde (aliphatic),20.043602186184643,,gasteiger,True,50.214984890866965
114,173,178270791,O=CCCC=[OH+],4-oxobutylideneoxidanium,87.09799999999998,0.1402,2,2,2,2,0,0.2739090314996322,Dialdehyde (aliphatic),20.096137751705335,,gasteiger,True,49.99275793410223
115,141,11412356,CC(=O)C#CC(C)=O,"hex-3-yne-2,5-dione",110.11199999999998,0.1677999999999998,2,2,2,2,0,0.3287495471398463,Dialdehyde (aliphatic),20.23297086260753,,gasteiger,True,49.41394993005649
116,101,58114481,O=CC(=O)CCF,4-fluoro-2-oxobutanal,104.07999999999996,0.1139999999999999,2,1,2,2,1,0.3759940614485898,Fluoro-dialdehyde,19.129051843587934,,gasteiger,True,49.0835592067437
117,167,67259533,O=C1CC1=O,"cyclopropane-1,2-dione",70.047,-0.4717,2,2,2,2,0,0.2849495442442598,Dialdehyde (cyclic),20.621490486815063,,gasteiger,True,47.77050071855024
118,47,439963,O=CCCCC(=O)O,5-oxopentanoic acid,116.116,0.4402,2,2,2,2,0,0.4279874042137406,Dialdehyde (aliphatic),21.1179644656398,,gasteiger,True,45.6704014746648
119,9,1112,O=CCCC(=O)O,4-oxobutanoic acid,102.08899999999998,0.0500999999999999,2,2,2,2,0,0.5120392189958191,Dialdehyde (aliphatic),21.16744612154236,,gasteiger,True,45.461092643629684
120,150,554053,COC(=O)CCCC=O,methyl 5-oxopentanoate,130.143,0.5286,2,2,2,2,0,0.3164795483713807,Dialdehyde (aliphatic),21.226078625924398,,gasteiger,True,45.21307545970532
121,142,11137279,CCOC(=O)CCCC=O,ethyl 5-oxopentanoate,144.17,0.9187,2,2,2,2,0,0.327131207228983,Dialdehyde (aliphatic),21.239357965594262,,gasteiger,True,45.15690347005544
122,90,83779,COC(=O)CCC=O,methyl 4-oxobutanoate,116.116,0.1384999999999998,2,2,2,2,0,0.3887867206920583,Dialdehyde (aliphatic),21.275564143847774,,gasteiger,True,45.0037502922108
123,99,20531819,O=CC(=O)SCl,S-chloro 2-oxoethanethioate,124.548,0.5988999999999999,2,0,2,2,0,0.3792905981389242,Dialdehyde (aliphatic),23.205492836094663,,gasteiger,True,45.0
124,191,162393511,[OH+]=CC=[OH+],2-oxoniumylideneethylideneoxidanium,60.05200000000001,-0.6641999999999999,2,0,2,2,0,0.2188119765984285,Dialdehyde (aliphatic),39.9021885894613,,gasteiger,True,45.0
125,175,19827565,O=CC(=O)S,2-oxoethanethioic S-acid,90.103,-0.3583000000000001,2,0,2,2,0,0.2708939178798124,Dialdehyde (aliphatic),22.215106986903915,,gasteiger,True,45.0
126,184,134850102,O=C1C=[O+]C1,oxet-1-ium-3-one,71.055,-0.6963000000000001,2,1,2,2,0,0.2107825840138828,Dialdehyde (cyclic),35.291665793904215,,gasteiger,True,45.0
127,187,91298647,C#CC(=O)C=O,2-oxobut-3-ynal,82.05799999999999,-0.6124,2,0,2,2,0,0.182841335865969,Dialdehyde (aliphatic),23.29678646717058,,gasteiger,True,45.0
128,180,129693563,O=CC(=O)C(=O)S,"2,3-dioxopropanethioic S-acid",118.113,-0.7892000000000001,3,0,3,3,0,0.2236048593379994,Dialdehyde (aliphatic),24.156822137904488,,gasteiger,True,45.0
